method,accuracy,precision,recall,f1_score,method_type,description
Frequency Threshold,0.77548353981475,1.0,0.33312543312543313,0.49976607579144355,Traditional,基于频率阈值的异常检测 (阈值=7.000)
Duration Threshold,0.7005062877674343,1.0,0.11042273042273042,0.19888413195701288,Traditional,基于持续时间阈值的异常检测 (阈值=4.807)
Severity Threshold,0.759982268262523,1.0,0.2870824670824671,0.44609801535595445,Traditional,基于严重程度阈值的异常检测 (优化阈值=4.530)
Composite Climate Index,0.6633303002729755,0.0,0.0,0.0,Traditional,复合气候指数异常检测 (优化阈值=0.65)
Statistical Outlier (3-sigma),0.6796248337649612,1.0,0.0483991683991684,0.09232965812643769,Traditional,统计异常值检测 (3-sigma规则)
AutoEncoder,0.6599892676325797,0.4888702356525524,0.21794871794871795,0.3014877871084014,AI/ML,Enhanced AutoEncoder with Weighted Loss & Early Stopping (threshold: 0.4961)
3-Sigma,0.8657380835724785,0.923281094478815,0.6556895356895357,0.7668106557310619,AI/ML,Statistical 3-Sigma Rule Anomaly Detection
Fusion_3Sigma_AE,0.8766431021208091,0.926627594445274,0.6880803880803881,0.7897332294036237,AI/ML,"优化智能融合模型: 平衡准确率和召回率 (高置信度:41729, 一致性:15372, 中等置信度:53576, 总计:53576)"
Ensemble_Fusion,0.8657380835724785,0.923281094478815,0.6556895356895357,0.7668106557310619,AI/ML,"优化集成融合模型: 平衡准确率和召回率 (AE权重:0.4, 3-Sigma权重:0.6, 阈值:0.5)"
